x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
A0,A0,A0,A0,A0,16.0,A0,A0,A0,A0,A0,A0,A0,80.55,A0
A1,A0,A0,A0,A0,7.0,A0,A0,A0,A1,A0,A0,A1,89.35,A1
A2,A0,A0,A1,A0,65.0,A0,A0,A1,A1,A0,A1,A2,99.35,A0
A3,A1,A0,A0,A1,13.0,A1,A1,A0,A0,A0,A0,A2,30.15,A0
A4,A0,A1,A0,A0,43.0,A0,A0,A0,A1,A0,A0,A2,84.85,A0
A5,A1,A0,A1,A0,3.0,A0,A0,A0,A1,A1,A0,A2,95.2,A1
A6,A0,A0,A1,A0,17.0,A1,A1,A0,A1,A1,A0,A0,49.8,A0
A7,A1,A0,A0,A0,42.0,A2,A0,A0,A1,A1,A0,A3,103.8,A0
A8,A0,A0,A1,A1,7.0,A2,A0,A0,A1,A0,A0,A2,89.75,A1
,A0,A0,A0,A0,51.0,A0,A0,A1,A1,A0,A2,A2,94.8,
A10,A1,A0,A1,A0,25.0,A2,A0,A0,A0,A0,A0,A2,74.6,A0
A11,A1,A0,A0,A0,19.0,A2,A2,A2,A2,A2,A0,A0,19.9,A0
A12,A0,A1,A1,A0,72.0,A2,A1,A1,A1,A0,A1,A3,74.4,A0
A13,A1,A0,A0,A0,69.0,A0,A1,A1,A1,A1,A1,A1,85.35,A0
A14,A0,A0,A1,A0,60.0,A2,A1,A1,A1,A0,A2,A0,59.8,A0
A15,A0,A0,A0,A0,45.0,A0,A0,A0,A1,A1,A0,A3,103.65,A0
A16,A0,A0,A0,A0,7.0,A2,A0,A0,A0,A0,A0,A2,69.55,A0
A17,A0,A0,A1,A0,38.0,A2,A0,A1,A0,A0,A0,A2,79.45,A1
A18,A1,A0,A1,A1,67.0,A2,A2,A2,A2,A2,A1,A3,19.25,A0
A19,A1,A0,A1,A0,72.0,A0,A0,A1,A0,A0,A1,A3,94.25,A0
A20,A0,A1,A1,A0,36.0,A2,A1,A0,A0,A0,A2,A1,54.1,A0
A21,A1,A0,A0,A0,4.0,A0,A0,A0,A0,A0,A0,A2,75.35,A1
A22,A1,A0,A0,A0,3.0,A2,A0,A0,A1,A0,A0,A2,79.4,A1
,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.05,A0
A24,A1,A0,A1,A1,3.0,A0,A1,A0,A1,A0,A0,A3,69.15,A0
,A0,A0,A1,A1,,A2,A2,A2,A2,A2,A0,A0,19.85,A0
A26,A0,A1,A1,A0,2.0,A0,A0,A0,A1,A0,A0,A0,86.85,A1
A27,A0,A0,A0,A0,3.0,A2,A1,A0,A0,A0,A0,A0,50.5,
A28,A1,A0,A1,A1,35.0,A0,A2,A2,A2,A2,A1,A3,24.3,A0
A29,A1,A0,A0,A0,25.0,A1,A1,A0,A1,A1,A2,A2,54.2,A0
A30,A0,A0,A1,A0,72.0,A0,A1,A1,A1,A1,A1,A3,87.1,A0
A31,A1,A0,A0,A0,12.0,A2,A2,A2,A2,A2,A0,A0,20.4,A0
A32,A1,A0,A0,A0,15.0,A2,A0,A1,A1,A1,A0,A1,99.1,A1
A33,A0,A0,A0,A0,27.0,A0,A0,A0,A1,A1,A2,A3,100.5,A0
